net,length_um
_4032_,36.82µm
_2140_,36.76µm
_2822_,36.76µm
_3259_,36.76µm
_3950_,36.76µm
_1769_,36.69µm
multiplier_inst.man_final\[9\],36.68µm
_1845_,36.64µm
net5,36.62µm
_3998_,36.58µm
_1434_,36.54µm
_3810_,36.54µm
_1124_,36.52µm
_2630_,36.52µm
_3008_,36.52µm
_1842_,36.51µm
_1467_,36.48µm
_4091_,36.48µm
_2032_,36.42µm
_0654_,36.32µm
_4075_,36.28µm
_0995_,36.26µm
_0601_,36.22µm
_2864_,36.22µm
_3338_,36.2µm
_0690_,36.18µm
adder_inst.exp_a_r\[6\],36.18µm
_0754_,36.14µm
_2542_,36.065µm
_4347_,36.06µm
multiplier_inst.is_inf_r,36.06µm
_3841_,36.02µm
_4031_,36.02µm
_4479_,36.01µm
_1447_,35.96µm
_0753_,35.94µm
_3175_,35.8µm
_0656_,35.72µm
_3965_,35.72µm
_4149_,35.7µm
_1679_,35.68µm
_1767_,35.67µm
_0963_,35.6µm
_2540_,35.56µm
multiplier_inst.man_final\[1\],35.56µm
_4506_,35.54µm
_0775_,35.5µm
_0776_,35.44µm
_2797_,35.44µm
_3895_,35.44µm
_3280_,35.405µm
_3511_,35.39µm
_2951_,35.36µm
_1388_,35.34µm
_4007_,35.32µm
_3398_,35.18µm
_2990_,35.12µm
_3004_,35.1µm
adder_inst.exp_b_r\[7\],35.07µm
_2009_,35.04µm
_2832_,35µm
_2352_,34.96µm
_3306_,34.92µm
_3603_,34.88µm
_4245_,34.875µm
_0855_,34.86µm
_2589_,34.8µm
_1745_,34.74µm
_1925_,34.7µm
adder_inst.sum_raw_r\[22\],34.54µm
_3904_,34.5µm
_4186_,34.5µm
_1129_,34.48µm
_1152_,34.48µm
_3711_,34.48µm
_3428_,34.38µm
_1064_,34.3µm
adder_inst.i_b\[10\],34.24µm
multiplier_inst.man_final\[16\],34.22µm
net335,34.18µm
_0420_,34.14µm
_0716_,34.04µm
_2713_,34.02µm
net601,34µm
_0489_,33.9µm
_0954_,33.9µm
_1102_,33.9µm
_3702_,33.88µm
_1505_,33.855µm
_0603_,33.82µm
_3713_,33.8µm
_1628_,33.77µm
_2710_,33.76µm
_3766_,33.74µm
net49,33.74µm
_3833_,33.64µm
_3375_,33.62µm
_1937_,33.6µm
_1070_,33.54µm
net43,33.54µm
adder_inst.exp_a_r\[5\],33.49µm
_0606_,33.48µm
_1249_,33.44µm
_2827_,33.4µm
adder_inst.i_b\[5\],33.38µm
_1772_,33.32µm
_2295_,33.3µm
_2010_,33.21µm
_1125_,33.2µm
_3099_,33.2µm
_0881_,33.06µm
_3947_,33.06µm
_0792_,33.02µm
_1939_,33µm
adder_inst.i_a\[13\],32.94µm
_2528_,32.92µm
_2491_,32.91µm
net854,32.88µm
_0832_,32.86µm
_0992_,32.84µm
_0066_,32.8µm
_3962_,32.76µm
_2874_,32.72µm
_1657_,32.62µm
_2046_,32.62µm
adder_inst.man_b_r\[12\],32.62µm
_0717_,32.6µm
_3344_,32.56µm
_2892_,32.54µm
_1600_,32.52µm
multiplier_inst.man_final\[11\],32.52µm
_3353_,32.42µm
_4421_,32.42µm
_3731_,32.4µm
mul_res\[30\],32.4µm
_1711_,32.3µm
_3538_,32.28µm
_1473_,32.22µm
_3041_,32.22µm
_4044_,32.22µm
_3223_,32.2µm
_1798_,32.16µm
_1973_,32.14µm
_1156_,32.12µm
_3981_,32.08µm
_4371_,31.98µm
_1967_,31.96µm
_4005_,31.92µm
_2730_,31.895µm
_3694_,31.88µm
_3851_,31.86µm
_1647_,31.82µm
_3463_,31.82µm
_2571_,31.8µm
_2250_,31.78µm
_2478_,31.76µm
multiplier_inst.man_final\[19\],31.7µm
net68,31.7µm
_1702_,31.68µm
_2110_,31.64µm
_3281_,31.58µm
_2390_,31.54µm
_3086_,31.45µm
_0957_,31.44µm
_4251_,31.38µm
_4102_,31.32µm
_3815_,31.26µm
_3867_,31.22µm
_4098_,31.13µm
_2902_,31.12µm
_0850_,31.085µm
_2337_,31.08µm
_0873_,31.06µm
_2038_,31.06µm
_4039_,30.96µm
_4339_,30.96µm
_0848_,30.92µm
_3745_,30.88µm
_1763_,30.86µm
_1350_,30.84µm
_3896_,30.82µm
