net,length_um
net486,102.72µm
net1242,102.64µm
net1742,102.62µm
net3194,102.6µm
net1569,102.57µm
net2636,102.515µm
_06804_,102.37µm
net1171,102.3µm
_05667_,102.2µm
net947,102.03µm
net1891,101.9µm
_06339_,101.84µm
net1262,101.8µm
_06458_,101.54µm
net2627,101.51µm
net776,101.47µm
net781,100.97µm
net2120,100.87µm
net2709,100.85µm
_06107_,100.76µm
net1556,100.65µm
net745,100.62µm
net964,100.58µm
net2712,100.57µm
net502,100.38µm
_06070_,100.36µm
net1708,100.3µm
clknet_leaf_2_clk,100.3µm
net2644,100.28µm
_02214_,100.24µm
net1969,100.17µm
net510,100.11µm
net2501,100.04µm
_01561_,99.92µm
net1837,99.78µm
net1951,99.68µm
net3176,99.66µm
net2318,99.65µm
net2754,99.47µm
net777,99.23µm
net2824,99.19µm
net1206,99.18µm
net2464,99.18µm
net2625,99.08µm
net846,98.85µm
adder_inst.exp_larger\[5\],98.49µm
net749,98.43µm
net1851,98.34µm
clknet_leaf_10_clk,98.34µm
net221,98.3µm
net1238,98.28µm
net2472,98.24µm
net606,98.02µm
net2916,98µm
_06781_,97.98µm
net844,97.79µm
net1542,97.75µm
_03472_,97.6µm
net2367,97.36µm
net1902,97.28µm
net1659,97.22µm
net211,97.14µm
net321,97.08µm
net1327,97.06µm
net2151,97µm
net764,96.99µm
net2753,96.99µm
net2574,96.97µm
net1143,96.93µm
net1505,96.78µm
net253,96.58µm
net1787,96.4µm
net936,96.325µm
adder_inst.man_b_r\[3\],96.27µm
net1937,96.24µm
net372,96.16µm
net303,96.08µm
net1927,96.03µm
net3303,95.87µm
net263,95.86µm
net2185,95.78µm
_00861_,95.74µm
_05316_,95.73µm
net2422,95.67µm
net523,95.64µm
net2671,95.64µm
adder_inst.sum_raw\[11\],95.625µm
net2034,95.62µm
net252,95.58µm
net3191,95.55µm
adder_inst.sum_raw\[12\],95.48µm
net147,95.32µm
net2290,95.21µm
net2823,95.15µm
adder_inst.sum_raw_r\[11\],95.09µm
net134,95.06µm
net1773,94.94µm
net2141,94.72µm
net981,94.69µm
net1950,94.61µm
net2525,94.52µm
_06878_,94.49µm
net341,94.36µm
net1012,94.22µm
net939,94.19µm
net1575,94.18µm
net1574,93.89µm
net2387,93.885µm
net1849,93.79µm
_00058_,93.78µm
_03178_,93.77µm
net2078,93.68µm
net1728,93.67µm
_06207_,93.66µm
net1214,93.56µm
_06235_,93.5µm
net1642,93.42µm
net2095,93.42µm
net1964,93.33µm
net2157,93.23µm
net234,93.16µm
net1678,93.03µm
net2825,92.93µm
_05306_,92.88µm
_06516_,92.88µm
_06089_,92.84µm
net1859,92.84µm
net1527,92.82µm
net985,92.74µm
adder_inst.sum_raw\[10\],92.64µm
net3408,92.5µm
net1220,92.45µm
net1666,92.42µm
net1754,92.41µm
adder_inst.man_b_r\[2\],92.25µm
net1702,92.1µm
net2536,91.72µm
net2630,91.7µm
net1983,91.68µm
net2113,91.51µm
net1323,91.48µm
net852,91.42µm
net2757,91.28µm
_05554_,91.24µm
_01392_,91.17µm
net358,91.16µm
net1929,91.12µm
net2358,91.07µm
_00729_,90.92µm
net2068,90.92µm
net2348,90.9µm
net1982,90.85µm
net1930,90.835µm
_01411_,90.82µm
net1215,90.72µm
net740,90.44µm
net1563,90.44µm
_05414_,90.4µm
net2632,90.33µm
net2504,90.14µm
net1602,89.96µm
net2443,89.9µm
