net,length_um
adder_inst.sum_raw\[17\],31.66µm
_01918_,31.62µm
_04507_,31.56µm
_01037_,31.46µm
_05543_,31.46µm
_05156_,31.44µm
_06931_,31.44µm
_05200_,31.42µm
_06500_,31.4µm
_03100_,31.36µm
_07625_,31.34µm
_06873_,31.3µm
_07001_,31.3µm
adder_inst.i_b\[9\],31.26µm
multiplier_inst.man_final\[6\],31.2µm
_05859_,31.16µm
_06020_,31.14µm
_06207_,31.12µm
_02945_,31.06µm
_01291_,30.96µm
_06531_,30.96µm
_07697_,30.96µm
_05732_,30.92µm
_00065_,30.86µm
_00049_,30.82µm
_01181_,30.8µm
net283,30.8µm
_06626_,30.75µm
_01271_,30.74µm
_00773_,30.72µm
_06908_,30.7µm
_02593_,30.68µm
net17,30.6µm
_07372_,30.58µm
_07487_,30.56µm
adder_inst.man_b_r\[5\],30.52µm
_00931_,30.5µm
adder_inst.exp_b_r\[3\],30.5µm
net367,30.5µm
_06258_,30.48µm
_05904_,30.45µm
_03623_,30.37µm
_00563_,30.36µm
_06334_,30.36µm
_03083_,30.34µm
_04265_,30.33µm
_05376_,30.32µm
_03901_,30.3µm
_06610_,30.3µm
_03430_,30.28µm
_03092_,30.26µm
adder_inst.i_b\[13\],30.26µm
_02886_,30.24µm
_05369_,30.24µm
_02586_,30.2µm
_03707_,30.15µm
_01166_,30.14µm
_02305_,30.14µm
_06229_,30.12µm
_06730_,30.12µm
_03078_,30.1µm
_03942_,30.04µm
_06198_,30.04µm
_06757_,30.02µm
_00843_,30µm
_00821_,29.99µm
_01686_,29.96µm
_04193_,29.94µm
_03182_,29.8µm
_04513_,29.78µm
adder_inst.i_b\[15\],29.78µm
_00571_,29.76µm
_04165_,29.76µm
_01808_,29.74µm
_03885_,29.7µm
_04504_,29.54µm
_03176_,29.51µm
_07681_,29.5µm
_06639_,29.48µm
adder_inst.i_b\[1\],29.44µm
_01239_,29.42µm
_00574_,29.34µm
_03016_,29.34µm
_06144_,29.34µm
_04018_,29.3µm
_07743_,29.3µm
_00838_,29.28µm
_01282_,29.28µm
_04020_,29.28µm
_06367_,29.28µm
_03530_,29.26µm
_06117_,29.24µm
_06645_,29.24µm
_07347_,29.2µm
_05667_,29.14µm
_07194_,29.12µm
net372,29.1µm
_04599_,29.07µm
_06659_,29.04µm
_06073_,29.02µm
_07752_,29µm
_05225_,28.96µm
_01270_,28.94µm
_03283_,28.94µm
adder_inst.man_a_r\[5\],28.92µm
_07581_,28.82µm
_05147_,28.8µm
_02803_,28.79µm
_03180_,28.74µm
_06298_,28.72µm
_00027_,28.7µm
_05549_,28.68µm
_06360_,28.68µm
_01679_,28.66µm
_02106_,28.66µm
_06219_,28.66µm
_02669_,28.64µm
_06174_,28.64µm
_03657_,28.58µm
_07488_,28.58µm
_02393_,28.56µm
_01272_,28.54µm
_07016_,28.54µm
_01829_,28.52µm
_02345_,28.52µm
_04781_,28.48µm
add_res\[30\],28.48µm
_01794_,28.44µm
_06189_,28.44µm
_01280_,28.4µm
_02568_,28.4µm
_00747_,28.38µm
_06598_,28.36µm
_01814_,28.34µm
_07202_,28.24µm
_00628_,28.2µm
_04336_,28.16µm
_03592_,28.06µm
_05507_,28.04µm
adder_inst.exp_b\[4\],28µm
_02441_,27.98µm
_02592_,27.98µm
_00795_,27.96µm
_02125_,27.96µm
_06791_,27.96µm
_02836_,27.9µm
_03841_,27.9µm
_06522_,27.9µm
adder_inst.exp_b\[3\],27.9µm
_05749_,27.82µm
_06244_,27.82µm
_01058_,27.8µm
_00930_,27.78µm
adder_inst.i_a\[15\],27.76µm
_07359_,27.755µm
_05432_,27.66µm
_06314_,27.66µm
_06643_,27.6µm
_02635_,27.58µm
_02082_,27.56µm
_06738_,27.56µm
_07869_,27.54µm
adder_inst.exp_b_r\[0\],27.52µm
adder_inst.sum_raw\[15\],27.52µm
_05770_,27.5µm
_06070_,27.48µm
_02743_,27.46µm
_02957_,27.46µm
_06436_,27.46µm
_03009_,27.44µm
_06990_,27.44µm
_03249_,27.42µm
_05491_,27.41µm
_01844_,27.4µm
_02752_,27.38µm
_01713_,27.36µm
_00910_,27.32µm
_01299_,27.26µm
_03762_,27.26µm
_02318_,27.22µm
_03428_,27.18µm
_06662_,27.18µm
_03392_,27.14µm
_01068_,27.12µm
_07784_,27.12µm
_04718_,27.1µm
_07150_,27.1µm
_02302_,27.08µm
_06909_,27.04µm
_07127_,27.04µm
_01355_,27.02µm
_03339_,27.02µm
_06429_,27.02µm
_04910_,27µm
_05143_,27µm
_01775_,26.99µm
_04012_,26.98µm
_03541_,26.97µm
_05110_,26.96µm
_03879_,26.94µm
_05503_,26.88µm
_01812_,26.84µm
_04107_,26.84µm
_06951_,26.84µm
_03111_,26.82µm
_02270_,26.78µm
_01103_,26.72µm
_04536_,26.72µm
