net,length_um
adder_inst.i_a\[10\],69.66µm
net512,69.43µm
_4021_,69.32µm
_3981_,69.14µm
net510,69.08µm
net115,69.04µm
adder_inst.is_zero_b_r,69µm
adder_inst.exp_b_r\[4\],68.82µm
clknet_leaf_9_clk,68.67µm
_3010_,68.62µm
_3728_,68.62µm
_3364_,68.56µm
net378,68.345µm
net176,68.1µm
adder_inst.man_b_r\[5\],68.06µm
adder_inst.is_inf_b_r,68.04µm
_3151_,67.815µm
_4084_,67.67µm
net186,67.1µm
_0035_,66.88µm
net466,66.88µm
_0673_,66.86µm
adder_inst.exp_larger_r\[2\],66.81µm
net44,66.36µm
_3029_,65.68µm
net202,65.56µm
net333,65.42µm
_0063_,65.39µm
net130,65.34µm
adder_inst.exp_b_r\[5\],65.24µm
_3368_,65.04µm
_0047_,64.84µm
_3777_,64.78µm
net204,64.77µm
_0092_,64.4µm
_0085_,64.345µm
adder_inst.sum_raw\[0\],64.14µm
adder_inst.i_a\[20\],64.04µm
_4163_,63.7µm
_3704_,63.65µm
net301,63.22µm
net181,63.2µm
net125,63.14µm
_1711_,62.98µm
net511,62.92µm
_2896_,62.7µm
adder_inst.man_a_r\[12\],62.68µm
_3414_,62.63µm
adder_inst.sum_raw_r\[21\],62.62µm
adder_inst.man_a_r\[20\],62.42µm
net162,62.4µm
net497,62.29µm
_2894_,62.26µm
_4034_,62.115µm
net201,62.055µm
net155,62.05µm
_0870_,61.94µm
net508,61.84µm
_4391_,61.76µm
_3032_,61.4µm
_0061_,61.24µm
_2749_,61.18µm
_3030_,61.16µm
_0064_,61.12µm
_0871_,61.12µm
_3916_,60.97µm
net116,60.94µm
_3732_,60.64µm
_0082_,60.58µm
_3920_,60.24µm
_0091_,60.18µm
net174,60.16µm
net3,60.06µm
_4190_,60.05µm
_1152_,59.38µm
net363,59.34µm
_2012_,59.14µm
adder_inst.exp_b_r\[6\],58.96µm
_3906_,58.91µm
_3677_,58.33µm
_3849_,58.04µm
adder_inst.exp_a_r\[0\],57.9µm
net15,57.9µm
_0065_,57.86µm
net534,57.78µm
_4405_,57.74µm
_4307_,57.66µm
net375,57.66µm
_0086_,56.54µm
net10,56.46µm
adder_inst.sum_raw\[1\],56.34µm
net501,56.15µm
adder_inst.sum_raw\[2\],55.96µm
net184,55.9µm
adder_inst.is_zero_r,55.865µm
adder_inst.exp_larger\[7\],55.785µm
_1715_,55.64µm
_1805_,55.4µm
_1807_,55.4µm
adder_inst.sum_raw\[3\],55.24µm
net485,55.14µm
adder_inst.man_a_r\[19\],55.04µm
_3499_,55µm
adder_inst.sum_raw\[9\],54.84µm
_1045_,54.6µm
net350,54.58µm
net474,54.36µm
net200,54.275µm
adder_inst.exp_larger_r\[6\],54.26µm
_3251_,54.12µm
_3404_,53.95µm
_3773_,53.9µm
_1158_,53.88µm
net445,53.88µm
net124,53.48µm
adder_inst.sum_raw_r\[18\],53.3µm
_1058_,53.16µm
adder_inst.exp_larger_r\[0\],53.12µm
net619,53.08µm
_1350_,53.04µm
_3923_,52.91µm
_1799_,52.72µm
_2481_,52.72µm
_2795_,52.58µm
_3007_,52.54µm
net145,52.52µm
adder_inst.exp_a_r\[2\],52.495µm
net112,52.46µm
_1716_,52.31µm
_3406_,52.31µm
adder_inst.sum_raw\[10\],52.28µm
_1697_,52.09µm
_3822_,52.08µm
_3775_,52.06µm
_4012_,51.96µm
_3358_,51.9µm
net109,51.705µm
_0992_,51.08µm
_2897_,50.94µm
net113,50.92µm
_4399_,50.83µm
_3347_,50.69µm
_3799_,50.65µm
_2021_,50.34µm
_3908_,50.29µm
_3871_,50.24µm
_3628_,50.12µm
_0087_,50.08µm
_1675_,49.9µm
_0640_,49.82µm
adder_inst.man_b_r\[6\],49.82µm
_0080_,49.8µm
_1896_,49.62µm
net513,49.62µm
net371,49.47µm
_0830_,49.46µm
_4068_,49.32µm
_3823_,49.16µm
net520,49µm
_1989_,48.94µm
net150,48.85µm
_0576_,48.76µm
_3375_,48.64µm
_0578_,48.62µm
_1717_,48.46µm
_2583_,48.46µm
net103,48.42µm
_3257_,48.34µm
_2309_,48.32µm
_3937_,48.21µm
clknet_leaf_4_clk,48.07µm
_3259_,47.94µm
_3851_,47.86µm
_1352_,47.795µm
_2985_,47.755µm
net526,47.65µm
adder_inst.exp_a_r\[1\],47.6µm
_4018_,47.435µm
_0062_,47.32µm
net382,47.29µm
adder_inst.sum_raw\[4\],47.28µm
_3247_,47.1µm
_1872_,46.9µm
_3982_,46.8µm
_3279_,46.78µm
clknet_leaf_5_clk,46.62µm
_3395_,46.56µm
adder_inst.sum_raw\[11\],46.34µm
_3273_,45.98µm
net714,45.8µm
_1957_,45.64µm
_2584_,45.62µm
_2107_,45.585µm
_3861_,45.54µm
_1991_,45.38µm
_4343_,45.28µm
_3388_,45.22µm
adder_inst.sum_raw\[7\],45.18µm
_2060_,45.02µm
_2509_,44.88µm
_0759_,44.83µm
adder_inst.sum_raw\[8\],44.82µm
net262,44.78µm
_3144_,44.74µm
_0752_,44.66µm
_3235_,44.64µm
net339,44.6µm
_3328_,44.52µm
_3394_,44.47µm
_3875_,44.44µm
_0952_,44.42µm
_0750_,44.1µm
_1593_,44.06µm
_2694_,44µm
_2955_,43.96µm
_0104_,43.95µm
_2757_,43.88µm
net111,43.88µm
_0936_,43.84µm
_3356_,43.8µm
_3079_,43.58µm
_3881_,43.56µm
_3341_,43.46µm
_0481_,43.36µm
_3711_,43.26µm
adder_inst.sum_raw\[5\],43.2µm
adder_inst.i_b\[22\],43.12µm
multiplier_inst.overflow_calc_r,43.08µm
net618,42.88µm
_2032_,42.8µm
_3147_,42.76µm
_4027_,42.74µm
net615,42.66µm
