Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_690,VPWR,li1,325.6800,388.9600,1.799892
FILLER_139_669,VPWR,li1,313.9500,388.9600,1.799795
FILLER_139_657,VPWR,li1,310.5000,388.9600,1.799770
FILLER_139_652,VPWR,li1,305.9000,388.9600,1.799737
FILLER_139_623,VPWR,li1,292.3300,388.9600,1.799663
FILLER_139_553,VPWR,li1,260.8200,388.9600,1.799599
FILLER_139_521,VPWR,li1,246.1000,388.9600,1.799617
FILLER_139_509,VPWR,li1,239.8900,388.9600,1.799634
FILLER_139_505,VPWR,li1,238.7400,388.9600,1.799643
FILLER_139_503,VPWR,li1,237.1300,388.9600,1.799643
FILLER_139_497,VPWR,li1,235.5200,388.9600,1.799652
FILLER_139_485,VPWR,li1,231.3800,388.9600,1.799668
FILLER_139_473,VPWR,li1,225.8600,388.9600,1.799702
FILLER_139_461,VPWR,li1,220.3400,388.9600,1.799724
FILLER_139_449,VPWR,li1,214.8200,388.9600,1.799752
FILLER_139_447,VPWR,li1,211.3700,388.9600,1.799778
FILLER_139_441,VPWR,li1,209.7600,388.9600,1.799778
FILLER_139_429,VPWR,li1,205.6200,388.9600,1.799799
FILLER_139_417,VPWR,li1,200.1000,388.9600,1.799833
FILLER_139_405,VPWR,li1,194.5800,388.9600,1.799855
FILLER_139_393,VPWR,li1,189.0600,388.9600,1.799883
FILLER_139_391,VPWR,li1,185.6100,388.9600,1.799909
FILLER_139_385,VPWR,li1,184.0000,388.9600,1.799909
FILLER_139_373,VPWR,li1,179.8600,388.9600,1.799930
FILLER_139_361,VPWR,li1,174.3400,388.9600,1.799953
FILLER_139_349,VPWR,li1,168.8200,388.9600,1.799954
FILLER_139_337,VPWR,li1,163.3000,388.9600,1.799956
FILLER_139_335,VPWR,li1,159.8500,388.9600,1.799957
FILLER_139_329,VPWR,li1,158.2400,388.9600,1.799957
FILLER_139_317,VPWR,li1,154.1000,388.9600,1.799958
FILLER_139_305,VPWR,li1,148.5800,388.9600,1.799960
FILLER_139_293,VPWR,li1,143.0600,388.9600,1.799962
FILLER_139_281,VPWR,li1,137.5400,388.9600,1.799963
FILLER_139_279,VPWR,li1,134.0900,388.9600,1.799965
FILLER_139_273,VPWR,li1,132.4800,388.9600,1.799965
FILLER_139_261,VPWR,li1,128.3400,388.9600,1.799966
FILLER_139_249,VPWR,li1,122.8200,388.9600,1.799968
FILLER_139_237,VPWR,li1,117.3000,388.9600,1.799969
FILLER_139_225,VPWR,li1,111.7800,388.9600,1.799971
FILLER_139_223,VPWR,li1,108.3300,388.9600,1.799972
FILLER_139_217,VPWR,li1,106.7200,388.9600,1.799972
FILLER_139_205,VPWR,li1,102.5800,388.9600,1.799973
FILLER_139_193,VPWR,li1,97.0600,388.9600,1.799975
FILLER_139_181,VPWR,li1,91.5400,388.9600,1.799977
FILLER_139_169,VPWR,li1,86.0200,388.9600,1.799978
FILLER_139_167,VPWR,li1,82.5700,388.9600,1.799980
FILLER_139_161,VPWR,li1,80.9600,388.9600,1.799980
FILLER_139_149,VPWR,li1,76.8200,388.9600,1.799981
FILLER_139_137,VPWR,li1,71.3000,388.9600,1.799983
FILLER_139_125,VPWR,li1,65.7800,388.9600,1.799984
FILLER_139_113,VPWR,li1,60.2600,388.9600,1.799986
FILLER_139_111,VPWR,li1,56.8100,388.9600,1.799987
FILLER_139_105,VPWR,li1,55.2000,388.9600,1.799987
FILLER_139_93,VPWR,li1,51.0600,388.9600,1.799988
FILLER_139_81,VPWR,li1,45.5400,388.9600,1.799990
FILLER_139_69,VPWR,li1,40.0200,388.9600,1.799991
FILLER_139_57,VPWR,li1,34.5000,388.9600,1.799993
FILLER_139_55,VPWR,li1,31.0500,388.9600,1.799994
FILLER_139_51,VPWR,li1,29.9000,388.9600,1.799994
FILLER_139_39,VPWR,li1,26.2200,388.9600,1.799995
FILLER_139_27,VPWR,li1,20.7000,388.9600,1.799997
FILLER_139_15,VPWR,li1,15.1800,388.9600,1.799997
FILLER_139_3,VPWR,li1,9.6600,388.9600,1.799997
FILLER_138_845,VPWR,li1,394.6800,388.9600,1.799911
FILLER_138_837,VPWR,li1,392.3800,388.9600,1.799911
FILLER_138_825,VPWR,li1,387.7800,388.9600,1.799911
FILLER_138_813,VPWR,li1,382.2600,388.9600,1.799911
FILLER_138_811,VPWR,li1,378.8100,388.9600,1.799911
FILLER_138_805,VPWR,li1,377.2000,388.9600,1.799911
FILLER_138_793,VPWR,li1,373.0600,388.9600,1.799911
FILLER_138_781,VPWR,li1,367.5400,388.9600,1.799911
FILLER_138_769,VPWR,li1,362.0200,388.9600,1.799911
FILLER_138_757,VPWR,li1,356.5000,388.9600,1.799911
FILLER_138_755,VPWR,li1,353.0500,388.9600,1.799911
FILLER_138_749,VPWR,li1,351.4400,388.9600,1.799911
FILLER_138_737,VPWR,li1,347.3000,388.9600,1.799911
FILLER_138_725,VPWR,li1,341.7800,388.9600,1.799911
FILLER_138_713,VPWR,li1,336.2600,388.9600,1.799911
FILLER_138_701,VPWR,li1,330.7400,388.9600,1.799911
FILLER_138_699,VPWR,li1,327.2900,388.9600,1.799892
FILLER_138_693,VPWR,li1,325.6800,388.9600,1.799892
FILLER_138_665,VPWR,li1,311.8800,388.9600,1.799770
FILLER_138_641,VPWR,li1,301.0700,388.9600,1.799706
FILLER_138_620,VPWR,li1,291.1800,388.9600,1.799663
FILLER_138_608,VPWR,li1,287.9600,388.9600,1.799646
FILLER_138_547,VPWR,li1,257.3700,388.9600,1.799602
FILLER_138_541,VPWR,li1,255.7600,388.9600,1.799602
FILLER_138_528,VPWR,li1,249.3200,388.9600,1.799612
FILLER_138_485,VPWR,li1,229.3100,388.9600,1.799679
FILLER_138_477,VPWR,li1,226.7800,388.9600,1.799692
FILLER_138_475,VPWR,li1,224.2500,388.9600,1.799713
FILLER_138_469,VPWR,li1,222.6400,388.9600,1.799713
FILLER_138_457,VPWR,li1,218.5000,388.9600,1.799734
FILLER_138_445,VPWR,li1,212.9800,388.9600,1.799767
FILLER_138_433,VPWR,li1,207.4600,388.9600,1.799790
FILLER_138_421,VPWR,li1,201.9400,388.9600,1.799822
FILLER_138_419,VPWR,li1,198.4900,388.9600,1.799843
FILLER_138_413,VPWR,li1,196.8800,388.9600,1.799843
FILLER_138_401,VPWR,li1,192.7400,388.9600,1.799864
FILLER_138_389,VPWR,li1,187.2200,388.9600,1.799898
FILLER_138_377,VPWR,li1,181.7000,388.9600,1.799920
FILLER_138_365,VPWR,li1,176.1800,388.9600,1.799952
FILLER_138_363,VPWR,li1,172.7300,388.9600,1.799953
FILLER_138_357,VPWR,li1,171.1200,388.9600,1.799953
FILLER_138_345,VPWR,li1,166.9800,388.9600,1.799955
FILLER_138_333,VPWR,li1,161.4600,388.9600,1.799957
FILLER_138_321,VPWR,li1,155.9400,388.9600,1.799958
FILLER_138_309,VPWR,li1,150.4200,388.9600,1.799959
FILLER_138_307,VPWR,li1,146.9700,388.9600,1.799961
FILLER_138_301,VPWR,li1,145.3600,388.9600,1.799961
FILLER_138_289,VPWR,li1,141.2200,388.9600,1.799962
FILLER_138_277,VPWR,li1,135.7000,388.9600,1.799964
FILLER_138_265,VPWR,li1,130.1800,388.9600,1.799965
FILLER_138_253,VPWR,li1,124.6600,388.9600,1.799967
FILLER_138_251,VPWR,li1,121.2100,388.9600,1.799968
FILLER_138_245,VPWR,li1,119.6000,388.9600,1.799968
FILLER_138_233,VPWR,li1,115.4600,388.9600,1.799970
FILLER_138_221,VPWR,li1,109.9400,388.9600,1.799971
FILLER_138_209,VPWR,li1,104.4200,388.9600,1.799973
FILLER_138_197,VPWR,li1,98.9000,388.9600,1.799974
FILLER_138_195,VPWR,li1,95.4500,388.9600,1.799976
FILLER_138_189,VPWR,li1,93.8400,388.9600,1.799976
FILLER_138_177,VPWR,li1,89.7000,388.9600,1.799977
FILLER_138_165,VPWR,li1,84.1800,388.9600,1.799979
FILLER_138_153,VPWR,li1,78.6600,388.9600,1.799980
FILLER_138_141,VPWR,li1,73.1400,388.9600,1.799982
FILLER_138_139,VPWR,li1,69.6900,388.9600,1.799983
FILLER_138_133,VPWR,li1,68.0800,388.9600,1.799983
FILLER_138_121,VPWR,li1,63.9400,388.9600,1.799985
FILLER_138_109,VPWR,li1,58.4200,388.9600,1.799986
FILLER_138_97,VPWR,li1,52.9000,388.9600,1.799988
FILLER_138_85,VPWR,li1,47.3800,388.9600,1.799989
FILLER_138_83,VPWR,li1,43.9300,388.9600,1.799991
FILLER_138_77,VPWR,li1,42.3200,388.9600,1.799991
FILLER_138_65,VPWR,li1,38.1800,388.9600,1.799992
FILLER_138_53,VPWR,li1,32.6600,388.9600,1.799994
FILLER_138_41,VPWR,li1,27.1400,388.9600,1.799995
